,Restaurant_name,CO2
196,Lella Mozarella 2,0.0
197,Fit Kitchen,3.635454545454544
198,KP 21,0.0
199,Na Sushi & Nudelbar,0.0
200,Diya Restaurant,0.0
201,Du Liban,6.0067999999999975
202,vadder,0.0
203,Ristorante Adria,0.0
204,Madame Mei,0.0
205,Hoppers Cocktailbar,0.0
206,Zum Bitburger,0.0
207,Erich Zeiss,0.0
208,Samurai Sushi,0.0
209,Kleine Anna,0.0
210,Urfa Kebap Haus Frankfurt mit Kohlegrill,0.0
211,Klapper 33,0.0
212,Lufthansa Senator and Business Lounge,0.0
213,Toprak Kebap House,0.0
214,Mommona,0.0
215,Cantina Divino,0.0
216,Cafe Restaurant Schlott,0.0
217,Ristorante Tridico,0.0
218,Pizzeria da Salva,0.0
219,Taverna Alexanders,0.0
220,Ambassel,0.0
221,Destino Tapas Bar,0.0
222,Restaurant Reuter´s,0.0
223,China-Restaurant Wenzhou,0.0
224,Pizza Petro,0.0
225,Jambo Bar,0.0
226,Wirtshaus am Huhnermarkt,0.0
227,Udon,0.0
228,MONZA Caffe & Bar,0.0
229,talbub,0.0
230,BEEF! Grill and Bar,0.0
231,Heidi und Paul,0.0
232,Mian Hausgemachte Nudeln,0.0
233,Homburger Hof,0.0
234,COMAI - viet street kitchen,0.0
235,SUSHIKO,0.0
236,Frankfurt Art Bar,0.0
237,Bornheimer Ratskeller,0.0
238,Nibelungenschanke,0.0
239,FAME,0.0
240,Kemtong,0.0
241,Blaue Adria,0.0
242,Frische Paradies,0.0
243,Trinitii - Bowls & Drinks,0.0
244,Restaurant Atelier,0.0
245,Emir Et,0.0
246,Restaurant Iroha,0.0
247,Restaurant Francis,0.0
248,Questione Di Gusto,0.0
249,Le CroBag,0.0
250,Hankook,0.0
251,San San,0.0
252,Curry & Tandoori House Indian Restaurant,0.0
253,PINO,9.181749999999996
254,Lhamo Bistro,0.0
255,"Eat `n"" Art",0.0
256,Rumi's,0.0
257,Burger AG,0.0
258,Der Loewe,0.0
259,Tonbul Grill Kebab Haus,0.0
260,Vevay Cafe,0.0
261,Frankfurt and Friends,0.0
262,OSCAR's Brasserie Moderne,0.0
263,Pizza & Doner Land,0.0
264,Merkez Donerhaus,0.0
265,Lilli's Bar,0.0
266,Pizzeria Elba,0.0
267,China Garten,0.0
268,Tibet Bistro,0.0
269,Galicia,0.0
270,Pizzeria Cassavia,0.0
271,China Restaurant Yan Jing,0.0
272,Restaurant Tischlein deck dich,0.0
273,Urfa Kebaphaus,0.0
274,India Restaurant Tandoori Taste,0.0
275,Papanova,0.0
276,Ristorante Pizzeria Dino,0.0
277,Pirosmani,0.0
278,Sushi am Main,0.0
279,Papa Napoli,6.714561403508771
280,Nomu Sushi Bar Frankfurt,0.0
281,coa Wok & Bowls Myzeil,0.0
282,Eintracht,0.0
283,Le Petit Royal Frankfurt,0.0
284,Restaurant Zarathustra,0.0
285,Hotel Amadeus,0.0
286,la famiglia,0.0
