User,Rating,Restaurant_name, CO 2 Score,adjust_rating
Sandra N,5,Maindiner,0.0,5.0
ltp69,5,Maindiner,0.0,5.0
Elias D,5,Maindiner,0.0,5.0
ranksz,5,Maindiner,0.0,5.0
EstebanH,5,Maindiner,0.0,5.0
HallurV,5,Maindiner,0.0,5.0
larkou,5,Maindiner,0.0,5.0
Xainis,4,Maindiner,0.0,4.0
405ionam,5,Maindiner,0.0,5.0
Stephen P,5,Maindiner,0.0,5.0
Corey H,5,Maindiner,0.0,5.0
Amy E,5,Maindiner,0.0,5.0
DrakeVW,5,Maindiner,0.0,5.0
R747GG_,5,Maindiner,0.0,5.0
Diderko,5,Maindiner,0.0,5.0
JesseBlue,5,Maindiner,0.0,5.0
Trictis,5,Maindiner,0.0,5.0
Shellybelly701,5,Maindiner,0.0,5.0
RobStaal62,5,Maindiner,0.0,5.0
rsandner,3,Maindiner,0.0,3.0
KasperBRH,3,Maindiner,0.0,3.0
Feras H,5,Maindiner,0.0,5.0
Apairltd,5,Maindiner,0.0,5.0
nicareviewer,5,Maindiner,0.0,5.0
Chris P,5,Maindiner,0.0,5.0
D3796CFannec,5,Maindiner,0.0,5.0
Francisco C,5,Maindiner,0.0,5.0
crazypeterT,5,Maindiner,0.0,5.0
Don-Wong106574,5,Maindiner,0.0,5.0
516jonn,3,Maindiner,0.0,3.0
Wade B,5,Maindiner,0.0,5.0
mariosP6899CX,5,Maindiner,0.0,5.0
K1286LGmarkh,5,Maindiner,0.0,5.0
BenitoI,5,Maindiner,0.0,5.0
961burhand,4,Maindiner,0.0,4.0
Ben E,1,Maindiner,0.0,1.0
Rodrigo C,5,Maindiner,0.0,5.0
Baxinek,5,Maindiner,0.0,5.0
JesseBlue,5,Maindiner,0.0,5.0
Smuei,5,Via Monte Napoleone,0.0,5.0
citizen132002,3,Via Monte Napoleone,0.0,3.0
867jackt,5,Via Monte Napoleone,0.0,5.0
Carlsberg_13,5,Via Monte Napoleone,0.0,5.0
eunique3,5,Via Monte Napoleone,0.0,5.0
Spytha,5,Elia,0.0,5.0
alexandervR8739JC,5,Elia,0.0,5.0
monicager01969,5,Elia,0.0,5.0
kris_tin_2602,5,Elia,0.0,5.0
snowwhiteqwe,5,Elia,0.0,5.0
gnenad,5,Elia,0.0,5.0
Fearless704911,5,Elia,0.0,5.0
198verah,5,Elia,0.0,5.0
312egleb,3,Elia,0.0,3.0
ChryssaPang,5,Elia,0.0,5.0
680mw,5,Elia,0.0,5.0
Mario B,1,Elia,0.0,1.0
delhou,5,Elia,0.0,5.0
Colin E,5,Elia,0.0,5.0
mdiddy041,2,Elia,0.0,2.0
Frankpol10,5,Elia,0.0,5.0
Matt2978,5,Elia,0.0,5.0
JulietaC472,5,Elia,0.0,5.0
Karolina L,4,Elia,0.0,4.0
aussieskiman,5,Elia,0.0,5.0
Julian Felix F,5,Elia,0.0,5.0
Iulia_and_Nils,5,Elia,0.0,5.0
Michatravelling,5,Elia,0.0,5.0
rohanbyles,5,Elia,0.0,5.0
Jacqui_UK100,5,Elia,0.0,5.0
graceblumayer,1,Elia,0.0,1.0
noritto2017,4,Elia,0.0,4.0
Micke_Sth,5,Elia,0.0,5.0
ceciliac0rtes,1,Elia,0.0,1.0
FirTreeFoodie,5,Elia,0.0,5.0
payzulla,5,Elia,0.0,5.0
mark F,5,Elia,0.0,5.0
isweetmim,5,Elia,0.0,5.0
410asemh,4,Elia,0.0,4.0
Scarleyj,5,Elia,0.0,5.0
isabelleec,5,Elia,0.0,5.0
831phillipk,2,Elia,0.0,2.0
Stettler64,5,Elia,0.0,5.0
R6039URjens_,4,Elia,0.0,4.0
nystrom,5,Elia,0.0,5.0
oldsontour,5,Elia,0.0,5.0
tqmman2002,5,Elia,0.0,5.0
Cristian B,5,Elia,0.0,5.0
IanT701,3,Elia,0.0,3.0
MAP67traveller,5,Elia,0.0,5.0
MrGourmetBert,5,Elia,0.0,5.0
Karolina L,4,Elia,0.0,4.0
Medha A,3,Elia,0.0,3.0
Daniel K,4,Elia,0.0,4.0
Rodrigo L,5,Elia,0.0,5.0
546zeynepk,5,Elia,0.0,5.0
lionelb837,3,Elia,0.0,3.0
Laetitia F,4,Elia,0.0,4.0
Splash77,5,Elia,0.0,5.0
Joep O,4,Elia,0.0,4.0
wizadofwas,5,Elia,0.0,5.0
AhBanBan,4,Elia,0.0,4.0
Daniel K,5,Elia,0.0,5.0
rct1964,4,Elia,0.0,4.0
George M,5,Elia,0.0,5.0
R8020ZLadamp,4,Elia,0.0,4.0
Matej M,5,Elia,0.0,5.0
salta712,4,Elia,0.0,4.0
Magix64,5,Elia,0.0,5.0
Sasieology,4,Elia,0.0,4.0
soiramel,4,Elia,0.0,4.0
alexwaddell,5,Elia,0.0,5.0
Gisli S,5,Elia,0.0,5.0
Ornithorh,4,Elia,0.0,4.0
Liz B,5,Elia,0.0,5.0
340annep,5,Elia,0.0,5.0
Jason H,5,Elia,0.0,5.0
stephen s,5,Elia,0.0,5.0
974ivetat,1,Elia,0.0,1.0
Karioki,5,Elia,0.0,5.0
Alessandro-Ale_72,5,Elia,0.0,5.0
454priyah,5,Ristorante Punto e Pasta 1998,0.0,5.0
anojas63,4,Ristorante Punto e Pasta 1998,0.0,4.0
judythyagi,5,Ristorante Punto e Pasta 1998,0.0,5.0
anthonybI6868NV,5,Ristorante Punto e Pasta 1998,0.0,5.0
Arqam123,5,Ristorante Punto e Pasta 1998,0.0,5.0
laki333,5,Ristorante Punto e Pasta 1998,0.0,5.0
TCKun,2,Ristorante Punto e Pasta 1998,0.0,2.0
peter v,1,Ristorante Punto e Pasta 1998,0.0,1.0
Georgievskiiii,5,Ristorante Punto e Pasta 1998,0.0,5.0
Theresa W,5,Ristorante Punto e Pasta 1998,0.0,5.0
Pddiakite,5,Ristorante Punto e Pasta 1998,0.0,5.0
Sean B,5,Ristorante Punto e Pasta 1998,0.0,5.0
Debashis123,5,Ristorante Punto e Pasta 1998,0.0,5.0
sokoroafor,5,Ristorante Punto e Pasta 1998,0.0,5.0
427yichenh,5,Ristorante Punto e Pasta 1998,0.0,5.0
lovinahol,5,Ristorante Punto e Pasta 1998,0.0,5.0
Jocelyn S,5,Ristorante Punto e Pasta 1998,0.0,5.0
337juulb,1,Ristorante Punto e Pasta 1998,0.0,1.0
Q5997FCkevinm,5,Ristorante Punto e Pasta 1998,0.0,5.0
KatjuskaHKI,5,Ristorante Punto e Pasta 1998,0.0,5.0
lakmalies,5,Ristorante Punto e Pasta 1998,0.0,5.0
tobiassI1524PJ,5,Ristorante Punto e Pasta 1998,0.0,5.0
294shahida,5,Ristorante Punto e Pasta 1998,0.0,5.0
diai2021,5,Ristorante Punto e Pasta 1998,0.0,5.0
StephNixon,5,Ristorante Punto e Pasta 1998,0.0,5.0
Jet745058,5,Ristorante Punto e Pasta 1998,0.0,5.0
ceesaya2020,5,Ristorante Punto e Pasta 1998,0.0,5.0
lakmalies,5,Ristorante Punto e Pasta 1998,0.0,5.0
N6604TMjohnl,5,Ristorante Punto e Pasta 1998,0.0,5.0
tobiassI1524PJ,5,Ristorante Punto e Pasta 1998,0.0,5.0
ionelaa327,5,Ristorante Punto e Pasta 1998,0.0,5.0
DanBrillo,4,Ristorante Punto e Pasta 1998,0.0,4.0
dschroth,5,Ristorante Punto e Pasta 1998,0.0,5.0
travelersreview,5,Ristorante Punto e Pasta 1998,0.0,5.0
kiereniredale,4,Ristorante Punto e Pasta 1998,0.0,4.0
psdietc0ke,4,Ristorante Punto e Pasta 1998,0.0,4.0
350ralphm,2,Ristorante Punto e Pasta 1998,0.0,2.0
Debashis123,5,Ristorante Punto e Pasta 1998,0.0,5.0
Pioneer706539,3,Ristorante Punto e Pasta 1998,0.0,3.0
104PeterB,5,Ristorante Punto e Pasta 1998,0.0,5.0
laki333,5,Ristorante Punto e Pasta 1998,0.0,5.0
LivLovesHotels,2,Ristorante Punto e Pasta 1998,0.0,2.0
MarceloMarino,1,Ristorante Punto e Pasta 1998,0.0,1.0
Zandokus,5,Ristorante Punto e Pasta 1998,0.0,5.0
Zimmer K,4,Ristorante Punto e Pasta 1998,0.0,4.0
davidlauhk,1,Ristorante Punto e Pasta 1998,0.0,1.0
Manuel F,4,Ristorante Punto e Pasta 1998,0.0,4.0
Mikko V,3,Ristorante Punto e Pasta 1998,0.0,3.0
G2866ZVmiguelc,4,Ristorante Punto e Pasta 1998,0.0,4.0
difelidi,4,Ristorante Punto e Pasta 1998,0.0,4.0
595iang,4,Ristorante Punto e Pasta 1998,0.0,4.0
Illzite,4,Ristorante Punto e Pasta 1998,0.0,4.0
virentodi,4,Ristorante Punto e Pasta 1998,0.0,4.0
anthoa394,5,AROMA,0.0,5.0
O3255GEandresm,5,AROMA,0.0,5.0
JohkuS,5,AROMA,0.0,5.0
axel1707,5,AROMA,0.0,5.0
goersi,5,AROMA,0.0,5.0
Henri-Jacques T,5,AROMA,0.0,5.0
Charlestownsc,5,AROMA,0.0,5.0
Alaa M,5,AROMA,0.0,5.0
Moran B,5,AROMA,0.0,5.0
Icebrk,4,AROMA,0.0,4.0
KamchatkaVonUtopia,5,AROMA,0.0,5.0
AMcPeters,5,AROMA,0.0,5.0
Pavlina S,5,AROMA,0.0,5.0
malvarezs87,4,AROMA,0.0,4.0
mitul1013,4,AROMA,0.0,4.0
Brittany_11_10,5,AROMA,0.0,5.0
David_Copperman,5,AROMA,0.0,5.0
steaua1986,5,AROMA,0.0,5.0
Katja T,5,AROMA,0.0,5.0
Nobuko S,4,AROMA,0.0,4.0
Cph_Traveller2,2,AROMA,0.0,2.0
455samanthaw,5,AROMA,0.0,5.0
LilyIriz,5,AROMA,0.0,5.0
Der_blaue_Engel,5,AROMA,0.0,5.0
LaurMvp,5,AROMA,0.0,5.0
Adam P,5,AROMA,0.0,5.0
hannehein,5,AROMA,0.0,5.0
ramtn,5,AROMA,0.0,5.0
TravelbieneJen137,5,AROMA,0.0,5.0
Karolina L,5,AROMA,0.0,5.0
994cata,5,AROMA,0.0,5.0
Kaue C,5,AROMA,0.0,5.0
Sherin V,5,AROMA,0.0,5.0
smokieaz,5,AROMA,0.0,5.0
DanielRadio,5,AROMA,0.0,5.0
foodie_watch,3,AROMA,0.0,3.0
PinayInFrankfurt,5,AROMA,0.0,5.0
DeepYoga,5,AROMA,0.0,5.0
okithemoki,5,AROMA,0.0,5.0
Naiker,4,AROMA,0.0,4.0
DenDen123,5,AROMA,0.0,5.0
Diginikke,5,AROMA,0.0,5.0
Jenny F,5,AROMA,0.0,5.0
Susan S,5,AROMA,0.0,5.0
rxscabin,5,AROMA,0.0,5.0
VD_Speaks,5,AROMA,0.0,5.0
867jackt,5,AROMA,0.0,5.0
940samanthaw,5,AROMA,0.0,5.0
maburto83,5,AROMA,0.0,5.0
DrRussels,5,AROMA,0.0,5.0
biddingpoints,5,AROMA,0.0,5.0
remogisler,5,AROMA,0.0,5.0
Xiane-Frankfurt,5,AROMA,0.0,5.0
kristin c,5,AROMA,0.0,5.0
Natalilie23,5,AROMA,0.0,5.0
Fluglotse1,5,AROMA,0.0,5.0
LassiK,5,AROMA,0.0,5.0
tiagov798,5,AROMA,0.0,5.0
Kuba B,2,AROMA,0.0,2.0
464simons,5,AROMA,0.0,5.0
poebee,2,AROMA,0.0,2.0
Kait_2014,5,AROMA,0.0,5.0
ssimonss,5,AROMA,0.0,5.0
T S,5,AROMA,0.0,5.0
Mush P,4,AROMA,0.0,4.0
Chelsea1512,5,AROMA,0.0,5.0
AmmarHadi,5,AROMA,0.0,5.0
Matteo R,5,AROMA,0.0,5.0
ItaiB,5,AROMA,0.0,5.0
TyrnLex,5,Waxy's Irish Bar,0.0,5.0
Guide826928,5,Waxy's Irish Bar,0.0,5.0
L292OXterryg,5,Waxy's Irish Bar,0.0,5.0
Kevin D,5,Waxy's Irish Bar,0.0,5.0
