Restaurant_name,avg_rating
The Legacy,5.0
Mainnizza,3.7
Schandis,4.3
Dauth-Schneider,4.2
Jamy's Burger,4.0
Ranch & Sea,3.7
BLOCK HOUSE Frankfurt Europa-Allee,2.8
Fratellis Ristorante,5.0
Weinstube im ROmer,4.0
Veritas,4.4
Hamsilos & Schenck´s Seit 1540,1.0
Old Tiflis,3.5
Zum Gemalten Haus,4.3
Ong Tao,4.4
Restaurant Die Leiter,4.5
Erbgut,4.2
Tonbul,4.8
Alim Fisch Imbiss,4.6
Koogi Korean Bbq,3.9
Weinschirn,4.3
Pizza Italia,5.0
Alt-Oberurseler Brauhaus,4.3
Augenblick Kaffee & Co.,4.5
Hofgarten,4.0
SEVEN SWANS,5.0
Restaurant & Bar Savigny,4.0
FichtekrAnzi,4.5
Oceans,4.5
Carte blanche,5.0
Chairs,3.6
Athos,4.0
Lamex Lounge,4.0
Golden Gobi,5.0
Champions Bar,3.0
Frankfurter Pause,4.0
Gourmetrestaurant Villa Merton,3.5
Thai & Turf,4.6
Zum alten Frankfurter,3.7
Erno's Bistro,4.7
Yaomi,4.0
Restaurant Gustav,4.3
Wayang,4.3
Fame,4.0
Centro Gallego,3.2
Leon Restaurant,5.0
Vetro Vero,5.0
Bonvivant,4.9
Sohar's Koscher- Restaurant,5.0
OSCAR's,2.8
Zum Eichkatzerl,4.0
LILU,5.0
MyFrankfurt,4.5
Marjan,3.5
Aunty Zhongs,4.7
The Sakai,4.0
DELIkat,5.0
Falafel & Mehr,4.8
il vino,4.0
Frankfurter Kuche,4.5
L'Osteria,3.4
Alexis Sorbas,5.0
Dorade,4.8
Zeit fur Brot,4.6
Chidoba Mexican Grill,3.0
Restaurant MOvenpick Frankfurt City,4.0
Cross,4.5
Udon Thai Imbiss,3.0
DaVinc Cucina e Vino,5.0
Ristorante Bacco,3.5
Schwarzer Stern,3.6
CoCo,3.4
Mon Amie Maxi,3.5
Ganesha Restaurant Asian Call Food,4.0
Kennedy's Restaurant,4.5
Azzurro - La Cucina Italiana,4.0
Onkel Lam,4.0
Restaurant Nidda,5.0
