Restaurant_name,avg_rating
Wirtshaus am Huhnermarkt,3.7
Udon,4.1
MONZA Caffe & Bar,5.0
talbub,4.3
BEEF! Grill and Bar,3.5
Heidi und Paul,4.1
Mian Hausgemachte Nudeln,4.2
Homburger Hof,4.1
COMAI - viet street kitchen,4.0
SUSHIKO,3.8
Frankfurt Art Bar,4.4
Bornheimer Ratskeller,4.2
Nibelungenschanke,3.8
FAME,4.3
Kemtong,4.0
Blaue Adria,4.4
Frische Paradies,4.6
Trinitii - Bowls & Drinks,4.2
Restaurant Atelier,4.4
Emir Et,4.2
Restaurant Iroha,3.9
Restaurant Francis,4.5
Questione Di Gusto,4.0
Le CroBag,4.0
Hankook,3.8
San San,3.7
Curry & Tandoori House Indian Restaurant,4.3
PINO,4.1
Lhamo Bistro,4.3
"Eat `n"" Art",4.1
Rumi's,4.8
Burger AG,4.0
Der Loewe,4.5
Tonbul Grill Kebab Haus,4.0
Vevay Cafe,4.4
Frankfurt and Friends,3.9
OSCAR's Brasserie Moderne,3.8
Pizza & Doner Land,4.6
Merkez Donerhaus,3.5
Lilli's Bar,4.6
Pizzeria Elba,4.1
China Garten,4.1
Tibet Bistro,4.7
Galicia,4.1
Pizzeria Cassavia,4.8
China Restaurant Yan Jing,3.7
Restaurant Tischlein deck dich,4.0
Urfa Kebaphaus,4.0
India Restaurant Tandoori Taste,3.9
Papanova,3.6
Ristorante Pizzeria Dino,4.5
Pirosmani,3.8
Sushi am Main,4.4
Papa Napoli,4.3
Nomu Sushi Bar Frankfurt,4.1
coa Wok & Bowls Myzeil,3.7
Eintracht,4.2
Le Petit Royal Frankfurt,4.6
Restaurant Zarathustra,4.0
Hotel Amadeus,3.8
la famiglia,3.6
Suvarnabhum Thai Restaurant,4.4
Haru Sushi,4.7
Hoefchen Chinese Restaurant,4.2
Wunderling,4.8
Maruyasu Fraukfurt Hauptwache,4.1
Urban Kitchen,3.5
Longobardi`s,4.6
Pitcher's Pub,3.8
Picknickbank,3.8
Frankfurter Markthalle,3.8
Ristorante Azzurro,3.9
Bier- und Apfelweinlokal Friedberger Warte,3.7
La Contessa,3.8
Strandcafe,4.2
Maaschanz,3.7
Pizzeria Terranova,3.8
Ristorante Paparazzi 2,3.9
"Zur Krone ""Riwweler""",4.9
Restaurant Embassy,3.9
Your Burger,4.4
Aureus,4.2
Bayram Kebap House,3.5
New Brick,3.9
Jannis,4.2
BLOCK HOUSE Borsenplatz,3.6
Sushi Stars,4.3
Mika,4.4
Burbank Restaurant,4.5
Koryano,4.5
Die Focacceria,4.2
Trando,4.2
Thai Fun,3.8
Ichiban Taiwan Restaurant,3.8
Westbar,4.4
shisan,3.9
The noodlemaker,4.4
La Tabla Rasa Bar y Restaurante,4.1
Kneipchen,4.8
Bagan Sushi,4.4
Henninger am Turm - The Frankfurt Brauhaus,3.5
Bologna,4.4
Der Buchwald,4.4
L'atelier des tartes,4.7
Lucille,4.6
Il Tavolino,4.2
Alte Zollwache,3.8
Ha Long Restaurant,4.4
Falafel & mehr,4.8
Koylu-Doner,4.0
Badias Schirn Cafe Restaurant,3.7
Tibet Ama Kitchen,4.4
Aber,3.8
Alma Frankfurt,4.0
Haxen Reichert,4.5
Miller & Carter Frankfurt,3.9
Style of India,4.2
Indian Curry House,3.8
Yumas,3.9
Cafe im Frankfurter Kunstverein,3.6
Zum Adler,3.8
Bornheimer-Dorfstadl,4.8
Main Wurschtl,4.8
KISU Sushi Bar & Vietnamesisches Restaurant,4.0
Arkadius,4.5
Coffee Alley 29,5.0
Metropol am Dom,3.5
Hausener Dorfkrug,4.1
Habibi Sandwiches,4.1
Anar Kali,4.2
Gastronomie da Claudio,3.9
Mola City,4.5
Good Times For Good People,4.0
Zur Reifenburg,4.5
Picknick Cafe,4.1
Ma Pasta,4.3
Brueckenkeller,4.6
Umi Sushi,4.1
La Cevi - Ceviche,3.6
Brauns Fisch Restaurant,3.8
Blumen - Restaurant in der Bar,4.1
WeissGold,5.0
Brasserie Ici,4.0
Ran Tan's Thai,4.4
Ramen Jun Red,3.9
Konfuzius sagt ...,4.0
Mancini - Eat Smart,4.6
Wursthelden,3.6
Trattoria Amici,3.6
Senckenberg Bistro,4.0
Wir-Komplizen,4.9
Soul Food factory,4.3
Sushi Lover,4.8
Pizzeria Peppino,4.7
Tempaccio Ristorante,4.8
Ristorante Pizzaria Casa Mia Da Claudio,4.8
Momberger,4.5
Phoenix Tea,4.4
Pi-Nong - Authentische Thai-Kuche,3.9
Balkan Grill,3.8
GaststAtte Niddapark,4.1
Gambrinus am Eck,4.3
Bistro Okame,4.2
Taste of India,4.0
Restaurant O/C Operncafe,3.6
Amici,4.1
Bier-Hannes,3.8
Kastanie,4.1
Orfeos Erben,4.3
Fleming's Restaurant,3.7
Coco,3.8
Struwwelpeter,3.5
Da Vincenzo Cucina italiana e Pizza Napoletana,4.2
Takumi Frankfurt,4.0
Freitagskueche,4.0
Casa Pintor,3.9
Hoechster Kebaphaus,4.5
Mezzanotte,3.7
Ganesha Restaurant,4.5
Il Gambero,4.6
French Bento Bar,4.8
cetin Grill,4.7
Brasserie du Sud,3.7
Dunkin',3.9
Zur Golden Kron,3.9
Zur Stalburg,4.1
SEOULFOOD Korean Food,3.8
Delhi Tandoori,3.6
The RAMP Restaurant,3.8
Die Kuh die lacht,3.7
Zum Kuhstall,4.1
Maison de BaN,4.4
China Leckerbissen,4.4
Ristorante Pizzeria BELLA MIA,4.1
Biondo,4.6
Cocos Express,3.8
Hirschhaus,3.9
"Cevabdzinica ""Sarajevo""",4.5
Trattoria Culinaria,4.1
Try,4.7
Qualitatseck,4.5
Tequila,4.0
Zel Bistro,4.5
Restaurant Tandoori Indische Feinkuche,4.2
Forno d'Oro II,4.1
Arche Nova,4.1
J'epoca SAKAbar,4.5
Weinstube Nordend,4.4
Baguette Jeanette,3.8
Restaurant Saigon,4.9
Indian Kitchen,4.1
Landhaus Alte Scheune,3.7
Fletchers Better Burger Bockenhei,3.7
Fonda De Santiago,4.1
